OrderID,Date,Region,Product,Quantity,UnitPrice,Revenue
2050,2023-01-14,North,Widget B,6,19.63,117.78
2051,2023-01-15,East,Widget A,1,10.36,10.36
2052,2023-01-15,South,Widget C,5,96.56,482.8
2053,2023-01-15,South,Widget A,1,10.3,10.3
2054,2023-01-15,East,Widget A,2,9.07,18.14
2055,2023-01-16,West,Widget B,2,18.3,36.6
2056,2023-01-17,East,Widget C,5,82.13,410.65
2057,2023-01-17,East,Widget B,1,17.01,17.01
2058,2023-01-17,West,Widget C,2,88.54,177.08
2059,2023-01-17,South,Gadget Y,6,65.08,390.48
2060,2023-01-17,North,Widget A,8,11.92,95.36
2061,2023-01-17,South,Widget A,8,10.68,85.44
2062,2023-01-18,West,Widget C,2,99.62,199.24
2063,2023-01-18,North,Widget B,1,16.9,16.9
2064,2023-01-19,West,Widget A,1,10.54,10.54
2065,2023-01-20,South,Widget A,2,9.33,18.66
2066,2023-01-20,West,Gadget X,10,45.3,453.0
2067,2023-01-20,South,Widget A,4,11.35,45.4
2068,2023-01-20,West,Widget A,10,9.98,99.8
2069,2023-01-20,East,Widget A,6,9.23,55.38
2070,2023-01-21,North,Gadget Y,3,56.37,169.11
2071,2023-01-22,East,Widget C,10,84.62,846.2
2072,2023-01-22,East,Gadget X,4,48.34,193.36
2073,2023-01-22,South,Widget B,9,21.52,193.68
2074,2023-01-22,East,Gadget X,10,41.96,419.6
2075,2023-01-22,North,Widget B,7,17.94,125.58
2076,2023-01-23,East,Widget C,3,84.79,254.37
2077,2023-01-23,North,Widget C,8,77.0,616.0
2078,2023-01-23,West,Widget C,7,94.3,660.1
2079,2023-01-23,North,Widget B,6,20.59,123.54
2080,2023-01-23,South,Widget A,2,10.01,20.02
2081,2023-01-24,South,Widget A,9,10.96,98.64
2082,2023-01-24,West,Widget B,3,20.19,60.57
2083,2023-01-24,West,Widget B,10,20.64,206.4
2084,2023-01-24,South,Widget A,3,10.39,31.17
2085,2023-01-24,North,Gadget X,9,45.28,407.52
2086,2023-01-24,North,Widget A,1,9.42,9.42
2087,2023-01-25,East,Widget A,1,9.7,9.7
2088,2023-01-25,East,Widget C,3,84.3,252.9
2089,2023-01-26,North,Widget A,10,9.21,92.1
2090,2023-01-26,South,Gadget Y,9,54.29,488.61
2091,2023-01-27,North,Widget C,1,98.36,98.36
2092,2023-01-27,South,Widget B,7,16.65,116.55
2093,2023-01-27,South,Widget A,6,9.81,58.86
2094,2023-01-28,South,Widget A,10,9.45,94.5
2095,2023-01-28,North,Widget A,3,9.42,28.26
2096,2023-01-28,North,Widget A,4,9.86,39.44
2097,2023-01-28,West,Widget B,9,20.12,181.08
2098,2023-01-28,West,Gadget Y,10,60.88,608.8
2099,2023-01-29,East,Widget C,10,89.03,890.3
2100,2023-01-29,West,Widget B,4,16.56,66.24
2101,2023-01-30,West,Widget C,4,83.19,332.76
2102,2023-01-30,South,Widget A,4,11.5,46.0
2103,2023-01-30,West,Widget B,5,20.8,104.0
2104,2023-01-30,South,Widget C,7,77.2,540.4
2105,2023-01-30,East,Widget C,7,94.28,659.96
2106,2023-01-30,East,Widget C,10,95.26,952.6
2107,2023-01-31,South,Widget A,3,11.6,34.8
2108,2023-01-31,East,Widget A,10,9.13,91.3
2109,2023-01-31,South,Widget A,10,9.54,95.4
2110,2023-01-31,West,Gadget X,10,42.16,421.6
2111,2023-01-31,North,Widget B,1,21.19,21.19
2112,2023-01-31,South,Widget B,6,17.24,103.44
2113,2023-02-01,West,Widget A,1,11.16,11.16
2114,2023-02-01,West,Widget A,3,9.58,28.74
2115,2023-02-01,West,Widget A,6,11.34,68.04
2116,2023-02-01,West,Gadget X,6,46.75,280.5
2117,2023-02-01,East,Widget A,5,10.45,52.25
2118,2023-02-01,North,Widget B,5,19.54,97.7
2119,2023-02-02,East,Widget C,2,90.01,180.02
2120,2023-02-02,West,Widget B,1,19.59,19.59
2121,2023-02-02,North,Gadget Y,1,71.41,71.41
2122,2023-02-02,South,Widget C,8,76.64,613.12
2123,2023-02-02,North,Widget B,5,20.36,101.8
2124,2023-02-02,North,Widget C,1,84.21,84.21
2125,2023-02-03,North,Widget B,5,17.09,85.45
2126,2023-02-03,South,Widget A,8,9.87,78.96
2127,2023-02-03,West,Widget B,3,17.52,52.56
2128,2023-02-04,East,Gadget Y,1,70.67,70.67
2129,2023-02-04,East,Gadget Y,1,69.78,69.78
2130,2023-02-04,West,Widget C,10,87.64,876.4
2131,2023-02-04,North,Widget A,7,9.39,65.73
2132,2023-02-04,West,Widget C,6,79.61,477.66
2133,2023-02-05,North,Widget C,6,95.39,572.34
2134,2023-02-05,North,Widget A,8,11.22,89.76
2135,2023-02-05,West,Widget A,10,10.07,100.7
2136,2023-02-05,East,Widget A,7,10.85,75.95
2137,2023-02-05,West,Widget A,9,9.98,89.82
2138,2023-02-06,South,Widget B,2,17.25,34.5
2139,2023-02-06,South,Widget C,9,81.41,732.69
2140,2023-02-06,North,Widget B,9,16.4,147.6
2141,2023-02-06,East,Widget A,1,11.27,11.27
2142,2023-02-07,West,Gadget X,8,47.28,378.24
2143,2023-02-08,North,Widget A,7,11.15,78.05
2144,2023-02-08,West,Widget A,3,9.47,28.41
2145,2023-02-08,North,Gadget X,10,47.81,478.1
2146,2023-02-08,South,Widget B,4,21.28,85.12
2147,2023-02-09,South,Gadget Y,9,64.87,583.83
2148,2023-02-10,North,Widget A,3,11.65,34.95
2149,2023-02-10,East,Widget C,4,93.28,373.12
2150,2023-02-10,South,Widget C,4,92.6,370.4
2151,2023-02-10,East,Widget B,7,19.94,139.58
2152,2023-02-10,West,Widget A,5,11.74,58.7
2153,2023-02-11,East,Widget B,4,19.09,76.36
2154,2023-02-11,North,Widget B,6,16.79,100.74
2155,2023-02-11,West,Gadget X,5,40.65,203.25
2156,2023-02-11,North,Widget B,10,16.3,163.0
2157,2023-02-11,North,Widget A,6,10.33,61.98
2158,2023-02-12,West,Gadget X,4,42.85,171.4
2159,2023-02-12,West,Widget A,9,10.68,96.12
2160,2023-02-12,North,Widget C,8,83.97,671.76
2161,2023-02-13,South,Widget A,5,11.19,55.95
2162,2023-02-13,North,Widget A,2,9.1,18.2
2163,2023-02-13,East,Widget B,5,16.79,83.95
2164,2023-02-13,West,Widget A,8,9.41,75.28
2165,2023-02-14,North,Widget C,4,83.7,334.8
2166,2023-02-14,East,Widget B,6,20.05,120.3
2167,2023-02-14,East,Widget A,10,11.25,112.5
2168,2023-02-14,South,Widget A,2,11.15,22.3
2169,2023-02-14,South,Widget B,10,17.11,171.1
2170,2023-02-15,West,Widget A,2,9.63,19.26
2171,2023-02-15,South,Widget B,8,21.29,170.32
2172,2023-02-15,West,Widget A,8,11.59,92.72
2173,2023-02-16,South,Widget A,2,11.24,22.48
2174,2023-02-16,North,Gadget X,1,44.34,44.34
2175,2023-02-16,South,Widget A,6,9.99,59.94
2176,2023-02-17,East,Widget B,1,20.16,20.16
2177,2023-02-17,North,Widget C,10,94.73,947.3
2178,2023-02-17,North,Widget A,9,11.51,103.59
2179,2023-02-17,South,Gadget Y,10,55.52,555.2
2180,2023-02-18,West,Widget A,7,9.23,64.61
2181,2023-02-18,North,Widget B,2,18.81,37.62
2182,2023-02-18,South,Widget B,10,18.82,188.2
2183,2023-02-18,North,Gadget Y,6,62.54,375.24
2184,2023-02-18,West,Gadget X,4,41.09,164.36
2185,2023-02-19,South,Widget A,6,10.21,61.26
2186,2023-02-19,South,Widget B,7,16.37,114.59
2187,2023-02-19,West,Gadget X,6,50.24,301.44
2188,2023-02-20,North,Widget B,5,16.27,81.35
2189,2023-02-20,North,Gadget X,5,46.0,230.0
2190,2023-02-21,South,Gadget X,3,43.54,130.62
2191,2023-02-21,South,Widget A,4,10.72,42.88
2192,2023-02-21,West,Widget A,6,9.83,58.98
2193,2023-02-21,North,Widget B,10,19.9,199.0
2194,2023-02-22,East,Widget B,9,17.64,158.76
2195,2023-02-22,South,Widget B,5,16.59,82.95
2196,2023-02-23,North,Widget A,8,11.33,90.64
2197,2023-02-23,West,Gadget X,9,53.1,477.9
2198,2023-02-24,North,Gadget X,4,49.23,196.92
2199,2023-02-24,North,Widget A,5,11.74,58.7
2200,2023-02-25,North,Widget C,1,85.87,85.87
2201,2023-02-25,East,Gadget Y,10,69.06,690.6
2202,2023-02-25,West,Widget A,9,11.73,105.57
2203,2023-02-26,West,Widget A,1,10.1,10.1
2204,2023-02-26,North,Widget B,3,16.48,49.44
2205,2023-02-27,North,Widget B,6,16.44,98.64
2206,2023-02-27,East,Widget A,6,10.41,62.46
2207,2023-02-27,South,Widget B,5,16.9,84.5
2208,2023-02-28,East,Widget A,2,10.4,20.8
2209,2023-02-28,North,Widget A,2,10.62,21.24
2210,2023-03-01,South,Widget A,10,9.48,94.8
2211,2023-03-01,West,Widget A,3,9.05,27.15
2212,2023-03-01,West,Widget A,9,10.74,96.66
2213,2023-03-01,North,Widget B,6,17.55,105.3
2214,2023-03-02,South,Widget A,6,11.65,69.9
2215,2023-03-02,South,Widget B,7,19.08,133.56
2216,2023-03-02,West,Widget C,8,94.92,759.36
2217,2023-03-02,West,Gadget Y,5,68.43,342.15
2218,2023-03-03,East,Widget A,2,11.02,22.04
2219,2023-03-03,West,Widget A,4,9.59,38.36
2220,2023-03-03,East,Widget A,5,10.63,53.15
2221,2023-03-03,West,Widget A,5,9.98,49.9
2222,2023-03-03,West,Widget B,8,17.46,139.68
2223,2023-03-04,South,Gadget Y,4,59.14,236.56
2224,2023-03-04,East,Widget A,4,10.12,40.48
2225,2023-03-04,West,Widget C,6,81.33,487.98
2226,2023-03-05,North,Widget A,9,11.41,102.69
2227,2023-03-06,East,Widget B,10,19.01,190.1
2228,2023-03-06,North,Widget B,7,18.97,132.79
2229,2023-03-06,West,Widget B,6,20.85,125.1
2230,2023-03-06,North,Widget B,6,21.03,126.18
2231,2023-03-06,North,Widget C,8,94.69,757.52
2232,2023-03-06,North,Widget C,10,94.6,946.0
2233,2023-03-07,South,Widget A,6,9.42,56.52
2234,2023-03-07,South,Widget A,5,11.78,58.9
2235,2023-03-07,West,Widget B,9,19.44,174.96
2236,2023-03-08,East,Widget C,8,84.26,674.08
2237,2023-03-09,North,Widget C,9,85.95,773.55
2238,2023-03-09,West,Widget B,4,19.67,78.68
2239,2023-03-10,East,Widget A,6,9.35,56.1
2240,2023-03-10,South,Widget B,9,19.51,175.59
2241,2023-03-10,North,Widget A,9,10.69,96.21
2242,2023-03-11,West,Widget B,3,16.43,49.29
2243,2023-03-11,South,Widget A,1,10.43,10.43
2244,2023-03-11,West,Widget B,1,16.52,16.52
2245,2023-03-11,West,Gadget X,7,42.34,296.38
2246,2023-03-12,East,Widget A,2,10.25,20.5
2247,2023-03-12,South,Widget A,5,11.16,55.8
2248,2023-03-12,South,Gadget X,7,42.98,300.86
2249,2023-03-13,South,Gadget Y,10,60.74,607.4
2250,2023-03-13,East,Widget B,4,18.26,73.04
2251,2023-03-13,South,Widget A,6,11.28,67.68
2252,2023-03-13,South,Widget B,1,19.81,19.81
2253,2023-03-13,East,Widget B,4,17.39,69.56
2254,2023-03-14,West,Widget A,4,9.52,38.08
2255,2023-03-14,West,Widget A,8,9.01,72.08
2256,2023-03-15,East,Gadget X,7,52.81,369.67
2257,2023-03-15,South,Widget C,7,95.8,670.6
2258,2023-03-15,West,Widget C,1,87.33,87.33
2259,2023-03-15,South,Widget C,7,85.4,597.8
2260,2023-03-16,South,Widget A,3,9.5,28.5
2261,2023-03-16,West,Widget A,1,9.51,9.51
2262,2023-03-17,West,Widget A,10,10.17,101.7
2263,2023-03-17,West,Widget A,7,9.99,69.93
2264,2023-03-17,South,Widget A,5,9.13,45.65
2265,2023-03-17,West,Gadget X,8,49.06,392.48
2266,2023-03-18,East,Widget A,3,9.79,29.37
2267,2023-03-18,East,Gadget X,4,50.39,201.56
2268,2023-03-19,West,Widget B,3,19.6,58.8
2269,2023-03-19,East,Widget B,2,17.46,34.92
2270,2023-03-19,North,Widget A,4,11.02,44.08
2271,2023-03-19,West,Widget B,7,20.61,144.27
2272,2023-03-20,West,Widget C,2,97.3,194.6
2273,2023-03-20,North,Widget A,5,10.83,54.15
2274,2023-03-21,North,Widget B,10,21.16,211.6
2275,2023-03-21,West,Widget A,8,10.11,80.88
2276,2023-03-21,North,Gadget X,6,47.33,283.98
2277,2023-03-21,North,Widget B,3,18.44,55.32
2278,2023-03-22,East,Widget A,10,11.11,111.1
2279,2023-03-22,East,Widget A,4,10.21,40.84
2280,2023-03-22,West,Widget B,4,19.26,77.04
2281,2023-03-23,East,Widget B,8,18.15,145.2
2282,2023-03-23,North,Gadget X,10,52.52,525.2
2283,2023-03-23,West,Widget B,8,18.12,144.96
2284,2023-03-23,North,Widget A,10,11.71,117.1
2285,2023-03-23,North,Widget C,1,79.3,79.3
2286,2023-03-24,South,Widget A,1,10.45,10.45
2287,2023-03-24,South,Widget A,5,11.38,56.9
2288,2023-03-24,North,Widget B,2,20.24,40.48
2289,2023-03-24,North,Gadget X,5,49.18,245.9
2290,2023-03-24,East,Widget A,5,10.44,52.2
2291,2023-03-24,North,Widget A,3,10.19,30.57
2292,2023-03-25,South,Widget A,8,9.99,79.92
2293,2023-03-25,East,Gadget Y,5,62.05,310.25
2294,2023-03-25,East,Widget B,10,17.53,175.3
2295,2023-03-25,South,Gadget Y,6,65.61,393.66
2296,2023-03-25,West,Widget A,5,11.41,57.05
2297,2023-03-26,East,Widget B,1,17.76,17.76
2298,2023-03-26,North,Widget A,5,10.19,50.95
2299,2023-03-26,North,Widget A,8,10.16,81.28
2300,2023-03-27,South,Widget B,7,21.36,149.52
2301,2023-03-28,East,Widget B,7,17.12,119.84
2302,2023-03-28,South,Widget A,2,10.08,20.16
2303,2023-03-28,South,Widget A,9,11.33,101.97
2304,2023-03-28,West,Gadget X,1,41.81,41.81
2305,2023-03-28,West,Widget B,10,17.33,173.3
2306,2023-03-28,East,Gadget X,2,44.3,88.6
2307,2023-03-29,South,Gadget X,9,45.64,410.76
2308,2023-03-29,South,Widget B,7,17.34,121.38
2309,2023-03-29,North,Widget A,2,11.88,23.76
2310,2023-03-29,South,Gadget X,7,43.93,307.51
2311,2023-03-29,East,Widget A,6,9.43,56.58
2312,2023-03-30,West,Widget A,8,9.03,72.24
2313,2023-03-30,West,Widget A,1,11.24,11.24
2314,2023-03-30,South,Widget A,7,11.29,79.03
2315,2023-03-30,North,Widget C,9,86.65,779.85
2316,2023-03-30,North,Widget A,10,9.13,91.3
2317,2023-03-31,West,Widget A,9,10.06,90.54
2318,2023-03-31,South,Widget A,9,10.3,92.7
2319,2023-03-31,South,Widget A,2,10.44,20.88
2320,2023-03-31,South,Widget A,6,11.77,70.62
2321,2023-03-31,North,Widget B,2,20.91,41.82
2322,2023-04-01,West,Widget A,8,10.07,80.56
2323,2023-04-01,South,Widget C,9,82.31,740.79
2324,2023-04-01,West,Widget A,4,9.08,36.32
2325,2023-04-02,West,Widget B,9,19.01,171.09
2326,2023-04-03,West,Widget B,7,17.34,121.38
2327,2023-04-04,South,Widget A,8,9.61,76.88
2328,2023-04-04,East,Widget B,2,21.33,42.66
2329,2023-04-04,East,Widget B,1,17.42,17.42
2330,2023-04-04,South,Widget B,6,18.81,112.86
2331,2023-04-05,South,Widget B,7,21.06,147.42
2332,2023-04-05,East,Gadget Y,5,63.53,317.65
2333,2023-04-05,South,Widget A,5,11.04,55.2
2334,2023-04-06,West,Widget A,10,9.48,94.8
2335,2023-04-06,East,Widget B,1,18.42,18.42
2336,2023-04-07,North,Widget A,2,10.42,20.84
2337,2023-04-07,South,Gadget Y,9,54.77,492.93
2338,2023-04-07,East,Widget A,1,10.07,10.07
2339,2023-04-07,East,Widget A,6,9.46,56.76
2340,2023-04-07,South,Widget A,1,10.01,10.01
2341,2023-04-08,North,Widget A,1,9.31,9.31
2342,2023-04-09,East,Widget B,5,17.05,85.25
2343,2023-04-09,South,Widget A,2,11.26,22.52
2344,2023-04-09,East,Widget A,1,10.61,10.61
2345,2023-04-09,North,Widget B,6,16.28,97.68
2346,2023-04-09,North,Widget A,5,10.66,53.3
2347,2023-04-09,North,Widget C,4,96.38,385.52
2348,2023-04-10,North,Widget A,2,11.49,22.98
2349,2023-04-11,North,Widget A,4,11.65,46.6
2350,2023-04-11,South,Widget B,2,17.92,35.84
2351,2023-04-11,East,Widget B,6,16.28,97.68
2352,2023-04-12,South,Gadget X,8,48.88,391.04
2353,2023-04-12,West,Widget B,3,17.32,51.96
2354,2023-04-12,West,Widget B,6,18.29,109.74
2355,2023-04-12,North,Widget A,9,9.4,84.6
2356,2023-04-13,East,Widget A,5,9.33,46.65
2357,2023-04-13,South,Widget A,7,10.63,74.41
2358,2023-04-14,West,Widget B,8,17.68,141.44
2359,2023-04-14,East,Widget B,1,20.11,20.11
2360,2023-04-14,South,Widget B,2,19.02,38.04
2361,2023-04-15,West,Widget B,6,21.5,129.0
2362,2023-04-15,West,Widget C,3,99.64,298.92
2363,2023-04-15,North,Widget A,4,10.59,42.36
2364,2023-04-15,North,Widget A,4,11.97,47.88
2365,2023-04-15,West,Widget B,4,16.94,67.76
2366,2023-04-15,West,Widget B,2,19.11,38.22
2367,2023-04-16,East,Widget C,1,101.04,101.04
2368,2023-04-16,South,Widget C,2,85.31,170.62
2369,2023-04-16,East,Gadget X,1,41.82,41.82
2370,2023-04-16,South,Gadget X,5,40.79,203.95
2371,2023-04-16,South,Widget B,8,17.03,136.24
2372,2023-04-17,East,Widget B,9,20.06,180.54
2373,2023-04-18,South,Widget A,9,9.14,82.26
2374,2023-04-18,East,Widget A,4,9.07,36.28
2375,2023-04-18,North,Widget B,6,16.66,99.96
2376,2023-04-18,North,Widget C,2,92.29,184.58
2377,2023-04-18,North,Gadget X,7,48.44,339.08
2378,2023-04-18,North,Widget A,8,10.79,86.32
2379,2023-04-19,North,Widget A,8,11.8,94.4
2380,2023-04-19,West,Widget B,10,19.74,197.4
2381,2023-04-19,East,Gadget Y,6,68.75,412.5
2382,2023-04-19,West,Widget B,4,19.58,78.32
2383,2023-04-19,East,Widget A,10,10.25,102.5
2384,2023-04-20,South,Widget A,6,9.17,55.02
2385,2023-04-20,South,Widget C,5,96.92,484.6
2386,2023-04-20,South,Widget A,1,10.7,10.7
2387,2023-04-20,West,Gadget X,10,48.19,481.9
2388,2023-04-20,East,Widget A,3,11.73,35.19
2389,2023-04-21,North,Widget A,8,9.57,76.56
2390,2023-04-21,North,Widget B,8,17.12,136.96
2391,2023-04-21,South,Widget A,6,11.83,70.98
2392,2023-04-21,South,Widget A,6,9.49,56.94
2393,2023-04-21,West,Gadget X,10,49.82,498.2
2394,2023-04-22,North,Widget A,6,11.59,69.54
2395,2023-04-22,North,Widget A,5,9.3,46.5
2396,2023-04-22,West,Widget C,6,86.94,521.64
2397,2023-04-22,South,Widget A,5,9.01,45.05
2398,2023-04-23,East,Widget A,9,10.87,97.83
2399,2023-04-23,West,Widget C,3,90.41,271.23
2400,2023-04-23,South,Widget C,10,91.94,919.4
2401,2023-04-23,East,Widget A,6,9.65,57.9
2402,2023-04-23,West,Widget A,10,11.13,111.3
2403,2023-04-23,South,Widget B,1,17.18,17.18
2404,2023-04-24,West,Widget A,8,11.56,92.48
2405,2023-04-24,East,Widget B,3,19.38,58.14
2406,2023-04-25,South,Gadget X,4,52.42,209.68
2407,2023-04-25,West,Gadget Y,4,64.86,259.44
2408,2023-04-26,East,Widget C,10,94.79,947.9
2409,2023-04-26,South,Widget A,3,9.74,29.22
2410,2023-04-26,East,Widget C,4,83.92,335.68
2411,2023-04-27,North,Gadget X,4,41.28,165.12
2412,2023-04-27,West,Widget A,9,10.02,90.18
2413,2023-04-28,South,Widget A,9,10.51,94.59
2414,2023-04-28,North,Gadget Y,3,56.26,168.78
2415,2023-04-28,West,Widget B,7,20.07,140.49
2416,2023-04-29,North,Widget C,1,84.27,84.27
2417,2023-04-29,South,Widget B,8,21.05,168.4
2418,2023-04-29,East,Gadget X,3,43.05,129.15
2419,2023-04-29,West,Widget A,2,10.28,20.56
2420,2023-04-29,West,Widget B,4,17.29,69.16
2421,2023-04-29,North,Widget B,10,16.95,169.5
2422,2023-04-30,South,Widget B,5,20.31,101.55
2423,2023-04-30,North,Gadget Y,1,67.93,67.93
2424,2023-04-30,West,Widget B,7,17.44,122.08
2425,2023-05-01,East,Widget B,6,16.37,98.22
2426,2023-05-01,South,Widget B,2,18.93,37.86
2427,2023-05-01,North,Widget A,2,9.48,18.96
2428,2023-05-01,East,Gadget X,3,49.98,149.94
2429,2023-05-02,West,Widget A,3,11.14,33.42
2430,2023-05-02,West,Widget C,10,78.09,780.9
2431,2023-05-02,West,Widget A,4,11.83,47.32
2432,2023-05-03,West,Widget B,2,19.93,39.86
2433,2023-05-03,East,Gadget X,1,42.5,42.5
2434,2023-05-04,South,Widget C,7,82.42,576.94
2435,2023-05-04,North,Widget B,9,21.35,192.15
2436,2023-05-04,West,Widget A,6,10.42,62.52
2437,2023-05-04,East,Widget B,10,19.59,195.9
2438,2023-05-05,North,Widget A,7,11.91,83.37
2439,2023-05-05,West,Widget A,5,9.57,47.85
2440,2023-05-05,South,Widget B,6,19.23,115.38
2441,2023-05-05,West,Gadget Y,6,57.55,345.3
2442,2023-05-05,North,Widget A,10,9.21,92.1
2443,2023-05-05,East,Widget B,5,20.94,104.7
2444,2023-05-06,East,Widget A,5,11.03,55.15
2445,2023-05-07,North,Gadget X,8,53.73,429.84
2446,2023-05-07,South,Widget C,1,77.04,77.04
2447,2023-05-08,North,Widget C,7,93.65,655.55
2448,2023-05-08,South,Widget B,8,16.4,131.2
2449,2023-05-08,East,Widget C,6,100.35,602.1
2450,2023-05-09,East,Widget C,2,101.38,202.76
2451,2023-05-09,East,Gadget X,3,49.21,147.63
2452,2023-05-09,North,Widget A,4,11.15,44.6
2453,2023-05-09,North,Widget B,1,19.89,19.89
2454,2023-05-09,South,Gadget Y,2,70.7,141.4
2455,2023-05-10,North,Widget C,7,90.91,636.37
2456,2023-05-10,North,Widget A,5,11.28,56.4
2457,2023-05-10,East,Widget B,9,21.53,193.77
2458,2023-05-10,West,Widget B,2,17.41,34.82
2459,2023-05-10,South,Widget C,2,83.89,167.78
2460,2023-05-11,North,Widget B,6,17.11,102.66
2461,2023-05-11,North,Widget A,10,10.04,100.4
2462,2023-05-11,South,Widget A,10,10.29,102.9
2463,2023-05-11,East,Gadget X,8,43.48,347.84
2464,2023-05-11,North,Widget B,6,16.53,99.18
2465,2023-05-12,East,Gadget X,2,50.1,100.2
2466,2023-05-12,North,Widget A,7,9.28,64.96
2467,2023-05-12,South,Widget A,8,11.27,90.16
2468,2023-05-12,South,Widget A,6,11.5,69.0
2469,2023-05-12,West,Gadget X,3,44.79,134.37
2470,2023-05-12,North,Widget A,8,11.26,90.08
2471,2023-05-13,South,Widget A,5,11.43,57.15
2472,2023-05-13,North,Widget C,9,86.04,774.36
2473,2023-05-13,West,Widget A,3,9.83,29.49
2474,2023-05-14,South,Gadget X,3,46.72,140.16
2475,2023-05-15,West,Widget A,6,9.01,54.06
2476,2023-05-15,West,Widget C,7,97.6,683.2
2477,2023-05-15,East,Widget A,10,9.75,97.5
2478,2023-05-16,East,Widget A,3,10.62,31.86
2479,2023-05-16,West,Widget A,2,10.51,21.02
2480,2023-05-16,North,Widget C,2,94.26,188.52
2481,2023-05-16,West,Widget B,5,17.58,87.9
2482,2023-05-16,South,Widget C,2,79.51,159.02
2483,2023-05-17,South,Widget B,8,17.93,143.44
2484,2023-05-17,East,Widget B,1,18.98,18.98
2485,2023-05-17,West,Widget A,5,10.69,53.45
2486,2023-05-17,West,Gadget X,10,42.67,426.7
2487,2023-05-18,South,Gadget X,5,46.27,231.35
2488,2023-05-18,South,Widget B,8,18.19,145.52
2489,2023-05-19,East,Widget B,9,17.27,155.43
2490,2023-05-19,West,Widget B,3,19.05,57.15
2491,2023-05-19,East,Widget C,5,79.37,396.85
2492,2023-05-19,South,Gadget X,4,44.66,178.64
2493,2023-05-19,West,Widget C,5,93.0,465.0
2494,2023-05-20,West,Widget A,3,10.03,30.09
2495,2023-05-21,North,Widget A,10,11.78,117.8
2496,2023-05-21,West,Gadget X,8,46.2,369.6
2497,2023-05-22,South,Widget B,8,21.24,169.92
2498,2023-05-22,West,Widget A,4,9.8,39.2
2499,2023-05-23,South,Widget B,5,18.78,93.9
2500,2023-05-23,South,Widget A,10,11.01,110.1
2501,2023-05-23,West,Widget A,2,11.98,23.96
2502,2023-05-23,South,Widget B,6,17.39,104.34
2503,2023-05-24,South,Widget B,5,18.68,93.4
2504,2023-05-24,West,Widget B,4,17.22,68.88
2505,2023-05-24,North,Widget B,5,20.73,103.65
2506,2023-05-24,East,Widget A,6,9.58,57.48
2507,2023-05-24,West,Widget A,8,11.17,89.36
2508,2023-05-24,East,Widget A,9,11.85,106.65
2509,2023-05-25,South,Widget A,4,9.55,38.2
2510,2023-05-26,West,Widget A,6,10.8,64.8
2511,2023-05-26,North,Widget C,1,77.02,77.02
2512,2023-05-26,East,Widget A,6,11.12,66.72
